code,name,orgId,title,url,size_kb
600491,龙元建设,gssh0600491,龙元建设2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262861.PDF,1486
600354,敦煌种业,gssh0600354,甘肃省敦煌种业集团股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262857.PDF,1202
688076,ST诺泰,gfbj0835572,ST诺泰：2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262826.PDF,1826
603927,中科软,gfbj0430002,中科软2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262795.PDF,1734
603668,天马科技,9900029592,天马科技2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262790.PDF,3152
688247,宣泰医药,9900046770,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262784.PDF,1861
601222,林洋能源,9900021223,江苏林洋能源股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262743.PDF,1665
300396,迪瑞医疗,9900022681,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262642.PDF,1920
600072,中船科技,gssh0600072,中船科技股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262560.PDF,1985
603030,全筑股份,9900023461,全筑股份2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262558.PDF,1364
600229,城市传媒,gssh0600229,青岛城市传媒股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262548.PDF,1451
600653,申华控股,gssh0600653,申华控股2025年年度报告（修订稿）,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262514.PDF,1212
688573,信宇人,9900041756,深圳市信宇人科技股份有限公司2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262471.PDF,1998
601003,柳钢股份,9900002182,柳钢股份2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262431.PDF,1363
688410,山外山,gfbj0838057,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262283.PDF,2044
688323,瑞华泰,9900041792,瑞华泰：2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262279.PDF,1506
603800,洪田股份,9900024532,2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262219.PDF,1671
600783,鲁信创投,gssh0600783,鲁信创投2025年年度报告,http://static.cninfo.com.cn/finalpage/2026-04-30/1225262176.PDF,1364
