code,name,orgId,status,pages,chars,carbon_kw,action_kw,soft_kw,carbon_num,env_head,biz,sec
603801,志邦家居,9900032419,ok,246,208740,3,6,15,,环境信息,TMT/电子|消费|地产建筑,20.3
603818,曲美家居,9900023523,ok,213,190684,0,1,4,,环境信息,TMT/电子|消费|地产建筑,17.3
603843,*ST正平,9900027728,ok,309,231371,0,5,9,,环境信息,钢铁建材|TMT/电子|消费|地产建筑,16.7
603880,南卫股份,9900031500,ok,175,151251,1,2,5,,环境信息,医药|消费,14.0
603898,好莱客,9900023664,ok,240,207176,0,2,8,,环境信息,TMT/电子|消费|地产建筑,17.7
603927,中科软,gfbj0430002,ok,213,194540,0,0,9,,环境信息,TMT/电子|地产建筑,17.7
603978,深圳新星,9900031492,ok,256,217835,12,7,7,,环境信息,TMT/电子,18.9
603989,艾华集团,9900023223,ok,227,186624,1,2,15,,环境信息,TMT/电子|消费,16.7
605008,长鸿高科,9900039739,ok,236,193329,2,7,7,,环境信息,化工|TMT/电子|地产建筑,17.4
605081,*ST太和,9900039856,ok,240,207857,2,3,15,,环境信息,TMT/电子|消费|地产建筑,18.3
605122,四方新材,9900039751,ok,197,168824,1,7,9,,环境信息,钢铁建材|化工|TMT/电子|地产建筑,14.4
605287,德才股份,9900041678,ok,273,233702,7,16,14,,环境信息,地产建筑,21.5
605288,凯迪股份,9900038386,ok,192,150434,0,1,8,,环境信息,TMT/电子|消费,13.5
605303,园林股份,9900031489,ok,206,168569,0,3,5,,环境信息,TMT/电子|消费|地产建筑,14.9
688001,华兴源创,9900038969,ok,300,278848,0,13,24,,环境信息,TMT/电子,25.3
688007,光峰科技,9900038970,ok,222,198358,4,6,14,68.97万吨,环境信息,医药|TMT/电子,18.2
688022,瀚川智能,9900039049,ok,354,258956,3,1,9,,环境信息,TMT/电子,27.0
688032,禾迈股份,9900046513,ok,273,209874,18,3,20,,环境信息,能源电力|TMT/电子|地产建筑,18.6
688033,天宜新材,9900039155,ok,265,247870,0,2,10,,环境信息,化工|TMT/电子|消费|地产建筑,16.1
688066,航天宏图,fzqy1026111,ok,370,245354,9,2,14,,环境信息,TMT/电子,21.4
688075,安旭生物,nssc1000391,ok,187,183386,0,0,9,,环境信息,医药|TMT/电子|消费,15.8
688076,ST诺泰,gfbj0835572,ok,313,257686,0,1,5,,环境信息,医药|化工|TMT/电子|消费,22.6
688150,莱特光电,gfbj0835249,ok,269,228212,1,5,13,,环境信息,TMT/电子|地产建筑,20.2
688159,有方科技,gfbj0835770,ok,267,222234,5,11,5,,环境信息,TMT/电子|消费,19.0
688171,纬德信息,nssc1000503,ok,232,195340,0,2,6,,环境信息,TMT/电子|地产建筑,17.7
688189,南新制药,9900039656,ok,241,193749,1,4,8,,环境信息,医药|化工|TMT/电子|消费,14.6
688212,澳华内镜,9900047918,ok,249,212566,0,2,8,,环境信息,医药|TMT/电子,18.0
688218,江苏北人,gfbj0836084,ok,263,233017,3,10,15,,环境信息,TMT/电子|地产建筑,20.6
688219,会通股份,9900041353,ok,250,217366,7,11,14,,环境信息,医药|化工|TMT/电子|消费,19.7
688223,晶科能源,9900017709,ok,289,285717,10,11,25,,环境信息,能源电力|TMT/电子,24.6
688237,超卓航科,gfbj0839971,ok,293,234070,0,1,9,,环境信息,医药|TMT/电子|消费|地产建筑,20.7
688247,宣泰医药,9900046770,ok,255,212430,0,0,20,,环境信息,医药|TMT/电子|消费,18.3
688272,富吉瑞,9900046529,ok,275,203270,2,3,7,,环境信息,TMT/电子,16.6
688289,圣湘生物,nssc1000305,ok,269,227464,0,0,7,,环境信息,医药|TMT/电子|地产建筑,20.0
688323,瑞华泰,9900041792,ok,213,177114,1,6,16,,环境信息,化工|TMT/电子,15.7
688333,铂力特,9900039046,ok,268,226623,0,2,7,,环境信息,医药|TMT/电子|地产建筑,19.5
688339,亿华通,gfbj0834613,ok,241,214849,12,5,16,,环境信息,TMT/电子,18.3
688348,昱能科技,9900052521,ok,252,209659,4,4,10,"5,400吨",环境信息,能源电力|TMT/电子|地产建筑,17.1
688409,富创精密,9900048393,ok,289,232019,1,0,9,,环境信息,TMT/电子,21.4
688410,山外山,gfbj0838057,ok,267,240827,0,2,16,,环境信息,医药|化工|TMT/电子|地产建筑,21.1
688439,振华风光,9900053041,ok,238,222879,1,2,19,,环境信息,TMT/电子|地产建筑,19.2
688443,智翔金泰,9900056031,ok,235,194913,1,4,9,,环境信息,医药|TMT/电子,15.2
688458,美芯晟,9900055791,ok,254,215508,0,3,11,,环境信息,TMT/电子|消费,18.2
688478,晶升股份,9900053817,ok,267,227930,0,4,9,,环境信息,TMT/电子|消费,19.3
688484,南芯科技,9900056052,ok,327,253023,2,2,14,,环境信息,TMT/电子,22.2
688559,海目星,9900041799,ok,293,256955,3,4,16,,环境信息,医药|TMT/电子|消费,22.5
688561,奇安信,9900041361,ok,283,288669,0,0,23,,环境信息,TMT/电子|消费,24.6
688567,孚能科技,9900040620,ok,240,205529,0,1,19,,环境信息,化工|TMT/电子,18.9
688573,信宇人,9900041756,ok,255,246526,0,12,11,,环境信息,TMT/电子|消费,21.8
688576,西山科技,gfbj0834788,ok,191,171307,0,0,7,,环境信息,医药|TMT/电子,15.5
688599,天合光能,GD155612,ok,335,314386,12,4,29,,环境信息,能源电力|TMT/电子|地产建筑,26.3
688618,三旺通信,nssc1000604,ok,290,265104,11,7,36,,环境信息,能源电力|TMT/电子|消费|地产建筑,22.6
688625,呈和科技,gfbj0838731,ok,238,197257,13,29,38,,环境信息,医药|化工|TMT/电子|消费,18.0
688710,益诺思,9900057434,ok,282,223584,2,2,20,,环境信息,医药|TMT/电子|消费,19.9
688711,宏微科技,gfbj0831872,ok,317,221565,4,20,22,,环境信息,TMT/电子|消费,22.2
688776,国光电气,GD005988,ok,266,235858,6,3,11,,环境信息,TMT/电子|消费,19.9
688793,倍轻松,gfbj0837027,ok,262,201985,0,0,13,,环境信息,TMT/电子|消费,17.6
